AIN,Street,City,State,ZIP,Price,LastSaleDate,YearBuild,Bedrooms,BathRooms,Sqft
2728012006,19128 KINGSBURY ST                    ,LOS ANGELES,CA,913260000,1010010,20230329,1974,4,3,2554
2278026016,3804 CODY RD                         ,LOS ANGELES,CA,914030000,1770017,20231122,1957,3,2,2022
4419015189,746 PALISADES DR                    ,PACIFIC PAL,SA,902720000,2730027,20230120,1995,3,3,2547
7338027059,18421 COLTMAN AVE                     ,CARSON CA  ,  ,907460000,787507,20230104,1964,3,2,1650
3053052442,2554 OLIVE DR                        ,PALMDALE CA,  ,935500000,216002,20231116,1986,1,1,529
7242016049,7305 MARINA PACIFICA DR N            ,LONG BEACH ,A ,908030000,950009,20230816,1974,3,3,1746
3213020047,34110 AGUA DULCE CANYON RD            ,AGUA DULCE ,A ,913900000,880008,20230112,1998,4,3,2164
7414028019,1553 GULF AVE                        ,LOS ANGELES,CA,907440000,730007,20230712,1955,3,2,1300
8714020015,3510 COTTER RIM LN                   ,DIAMOND BAR,CA,917650000,1270012,20230417,1983,4,3,2558
2341008010,5849 GOODLAND AVE                    ,LOS ANGELES,CA,916070000,1310013,20231208,1953,3,3,2100
8701040055,1002 SUMMITRIDGE DR                  ,DIAMOND BAR,CA,917650000,1013510,20240126,1987,4,3,2930
8550021057,12770 TORCH ST                        ,BALDWIN PAR,  ,917060000,640006,20230313,2022,3,4,1817
2245008165,5455 SYLMAR AVE                      ,LOS ANGELES,CA,914010000,760007,20230602,1989,2,3,1228
5716020015,946 FORTUNE WAY                     ,LOS ANGELES,CA,900420000,1227012,20231013,1964,4,3,2700
7103016017,16211 DOWNEY AVE                      ,PARAMOUNT C,  ,907230000,525005,20231221,1981,2,2,1082
3112004121,2805 AVENUE K12                      ,LANCASTER C,  ,935360000,310003,20230508,1990,2,2,936
2047014007,5441 ROZIE AVE                       ,LOS ANGELES,CA,913670000,1280012,20230711,1963,5,2,2290
7057021027,12512 206TH ST                        ,LAKEWOOD CA,  ,907150000,859008,20231128,1960,3,2,1295
4211028107,5625 CRESCENT PARK W                 ,PLAYA VISTA,CA,900940000,1350013,20230707,2003,2,2,1670
2156025123,18645 HATTERAS ST                     ,LOS ANGELES,CA,913560000,449004,20230118,1973,2,2,982
8518043009,802 OCEAN VIEW AVE                  ,MONROVIA CA,  ,910160000,1398013,20230322,1998,3,2,2653
4438034041,225 POWDERHORN RANCH RD             ,TOPANGA CA ,  ,902900000,1800018,20230907,1980,2,2,2244
5318002027,505 GARFIELD AVE                    ,SOUTH PASAD,NA,910300000,2500025,20230623,1981,3,3,2393
4431015133,1676 MICHAEL LN                      ,LOS ANGELES,CA,902720000,1760017,20231018,1979,3,4,2467
3147014011,44609 BENALD ST                       ,LANCASTER C,  ,935350000,370003,20230215,1972,3,2,1229
3147025008,44629 PINON SPRINGS DR                ,LANCASTER C,  ,935350000,380003,20230417,1986,3,2,1263
3140034012,829 AVENUE J6                       ,LANCASTER C,  ,935350000,202002,20230216,1991,3,2,1511
7370022050,2256 232ND ST                        ,TORRANCE CA,  ,905010000,1330013,20230919,1974,4,2,1971
8467031017,1703 GLENMERE ST                     ,WEST COVINA,CA,917900000,730007,20230824,1956,3,2,1460
5571015007,2625 LA CUESTA DR                    ,LOS ANGELES,CA,900460000,1100011,20230831,1990,1,2,1570
3208030073,2795 SOLEDAD CANYON RD               ,ACTON CA   ,  ,935100000,900009,20230824,1977,4,2,1804
2728027013,10419 AMIGO AVE                       ,LOS ANGELES,CA,913260000,950009,20230616,1961,3,2,1372
8020010028,10839 PLUTON ST                       ,NORWALK CA ,  ,906500000,785007,20231218,1952,3,2,982
2861046005,26326 WOODLARK LN                     ,SANTA CLARI,A ,913550000,1275012,20230414,1988,4,3,2741
8717024018,22892 HILTON HEAD DR                  ,DIAMOND BAR,CA,917650000,418004,20230914,1983,2,2,934
4211028191,5721 CRESCENT PARK                   ,PLAYA VISTA,CA,900940000,1510015,20230721,2004,2,3,2408
5659028028,2020 ASHINGTON DR                    ,GLENDALE CA,  ,912060000,1850018,20230421,1989,4,4,3146
2108001085,20506 ROSCOE BLVD                     ,LOS ANGELES,CA,913060000,625006,20230425,1979,3,3,1424
3150038002,43616 DEVYN LN                        ,LANCASTER C,  ,935350000,580005,20230306,1992,4,3,2658
2801009033,20137 DRASIN DR                       ,SANTA CLARI,A ,913510000,727007,20230509,1973,4,2,1468
2664015002,10864 MARKLEIN AVE                    ,LOS ANGELES,CA,913450000,680006,20230829,1953,3,2,1222
4134010014,5951 CANTERBURY DR                   ,CULVER CITY,CA,902300000,635006,20230530,1966,2,2,1007
2511033028,13791 LINFIELD AVE                    ,LOS ANGELES,CA,913420000,761507,20230920,1977,4,2,1724
5601002011,3912 MARKRIDGE RD                    ,GLENDALE CA,  ,912140000,1210012,20230818,1956,3,2,1499
8124019012,3873 ABBEYWOOD AVE                   ,WHITTIER CA,  ,906010000,708007,20231103,1956,3,2,1100
3148007034,44173 DEVOL ST                        ,LANCASTER C,  ,935350000,400004,20230717,1988,2,2,1127
3112046020,42856 FENNER AVE                      ,LANCASTER C,  ,935360000,422004,20231201,1988,3,2,1350
2812099090,28364 MIRABELLE LN                    ,SANTA CLARI,A ,913500000,525005,20230815,2005,2,2,1404
2174024011,4300 CHAUMONT RD                     ,LOS ANGELES,CA,913640000,1616016,20230208,1972,5,3,2447
2810027046,23316 BARFIELD DR                     ,SANTA CLARI,A ,913540000,1180011,20230802,1997,4,3,2891
2747003041,9911 INDEPENDENCE AVE                ,LOS ANGELES,CA,913110000,503005,20230316,1985,2,2,1096
3005047031,39888 PENINA WAY                      ,PALMDALE CA,  ,935510000,585005,20230202,2001,4,3,1913
2513001065,13750 HUBBARD ST                      ,LOS ANGELES,CA,913420000,525005,20231027,1985,3,3,1150
6044016020,8637 HOLMES AVE                      ,LOS ANGELES,CA,900020000,320003,20230613,1953,2,1,760
5345018068,431 MISSION RD                      ,ALHAMBRA CA,  ,918010000,700007,20231108,1980,2,3,1540
2866067009,0                                 ,           ,  ,0,960009,20231205,2023,3,2,1736
8655020016,1423 COSSACKS PL                     ,GLENDORA CA,  ,917410000,710007,20240215,1956,3,2,1428
2347031044,5307 WILKINSON AVE                   ,LOS ANGELES,CA,916070000,695006,20230127,1978,3,3,1599
2123028021,6130 JAMIESON AVE                    ,LOS ANGELES,CA,913160000,930009,20230404,1951,3,2,1308
3170052035,1638 MIKI WY                         ,LANCASTER C,  ,935350000,566005,20230421,2006,6,3,2872
8665036038,636 CANYON HILL RD                  ,SAN DIMAS C,  ,917730000,610006,20230127,1984,2,3,1238
8442002065,519 EMBROOK WAY                     ,WEST COVINA,CA,917910000,763007,20230328,2023,3,3,1483
3204088060,5812 AVENUE K3                       ,LANCASTER C,  ,935360000,580005,20230731,2007,3,3,3031
5738017126,272 CHESTER AVE                     ,PASADENA CA,  ,911060000,860008,20230308,2009,3,3,1480
8415019021,14627 LOS ANGELES ST                  ,BALDWIN PAR, C,917060000,655006,20230616,1960,3,2,1256
6373024027,8603 RAILTON ST                      ,PICO RIVERA,CA,906600000,742007,20230901,1953,3,1,912
3029023003,15715 AVENUE Q1                       ,LAKE LOS AN,EL,935910000,410004,20231228,1986,3,2,1402
8702021063,1730 SILVER RAIN DR                  ,DIAMOND BAR,CA,917650000,1280012,20231117,1979,4,3,2329
7054017024,12402 PATRICIA DR                     ,CERRITOS CA,  ,907030000,1100011,20231218,1969,4,2,1740
7278022092,640 4TH ST                          ,LONG BEACH ,A ,908020000,435004,20230614,1990,1,1,726
4422012011,14949 MC KENDREE AVE                  ,LOS ANGELES,CA,902720000,2300023,20230612,1956,2,2,1697
2126038008,6632 BAIRD AVE                       ,LOS ANGELES,CA,913350000,815008,20230616,1957,3,2,1681
7040007013,18325 GRAYLAND AVE                    ,ARTESIA CA ,  ,907010000,863008,20230602,1955,4,3,1686
5271024127,1348 POPPY CT                        ,MONTEBELLO ,A ,906400000,1140011,20231019,2023,4,4,2617
3057029012,34445 ASPEN ST                        ,ACTON CA   ,  ,935100000,870008,20230505,2003,4,3,2625
2625018007,9323 ARLETA AVE                      ,LOS ANGELES,CA,913310000,735007,20240119,1955,3,2,1335
7014012029,16120 MAIDSTONE AVE                   ,NORWALK CA ,  ,906500000,700007,20230908,1959,3,2,1274
7508003022,565 ESPLANADE                       ,REDONDO BEA,H ,902770000,780007,20230103,1971,1,1,718
8320028009,876 CLARK AVE                       ,POMONA CA  ,  ,917670000,670006,20230914,1955,4,2,1225
7442034024,27534 DAYTON AVE                      ,LOS ANGELES,CA,907320000,1327013,20230227,2022,5,3,2531
5570031021,7636 WOODROW WILSON DR               ,LOS ANGELES,CA,900460000,1830018,20230922,1959,3,2,1512
5779019113,326 GENOA ST                        ,ARCADIA CA ,  ,910060000,1170011,20230816,1996,3,3,1989
5678023013,4413 SUNNYCREST DR                   ,LOS ANGELES,CA,900650000,2150021,20230126,1960,3,2,1994
5295011009,813 16TH ST                         ,MONTEBELLO ,A ,906400000,750007,20230627,1961,3,2,1602
8665037095,657 VERMILION CREEK RD              ,SAN DIMAS C,  ,917730000,625006,20230130,1987,3,3,1260
4326035175,10580 WILSHIRE BLVD                   ,LOS ANGELES,CA,900240000,2800028,20230913,1991,3,3,2757
2836040157,26812 CLAUDETTE ST                    ,SANTA CLARI,A ,913510000,468504,20230505,1988,3,2,1003
8570029051,4501 PECK RD                         ,EL MONTE CA,  ,917320000,325003,20230126,1981,1,1,788
2424003076,4401 MOORPARK WAY                    ,LOS ANGELES,CA,916020000,820008,20230818,1984,2,2,1247
3229018011,7241 AVENUE A2                       ,LANCASTER C,  ,935360000,589005,20230414,1989,3,3,2467
8391013026,411 DAMIEN AVE                      ,LA VERNE CA,  ,917500000,785007,20230613,1955,3,3,1795
7102032073,16710 ORANGE AVE                      ,PARAMOUNT C,  ,907230000,520005,20230721,1973,2,2,1122
2857010018,23933 VIA HAMACA                      ,SANTA CLARI,A ,913550000,1125011,20231220,1995,6,3,3355
3176014047,45549 7TH ST E                        ,LANCASTER C,  ,935350000,319003,20231107,1957,4,2,1204
2114003143,20235 KESWICK ST                      ,LOS ANGELES,CA,913060000,474004,20230301,1982,2,2,1021
3119016085,1217 AVENUE H4                       ,LANCASTER C,  ,935340000,399003,20230214,1989,4,3,1697
8065028005,14418 COSTA MESA DR                   ,LA MIRADA C,  ,906380000,1000010,20230711,1955,4,3,1907
